timestamp,total_v2i_throughput_mbps
0.0,317.4747760328183
1.0,325.4777460451084
2.0,333.8323362313231
3.0,343.1442792274149
4.0,352.51805362976535
5.0,1114.6100724682733
6.0,1145.7045481210434
7.0,1176.9610286211819
8.0,1209.3102261967254
9.0,1244.005870810624
10.0,2106.9840543869573
11.0,2119.2119268469332
12.0,2133.57806701493
13.0,2152.000712535443
14.0,2170.9742283118194
15.0,2192.4144230782713
16.0,2214.057241451149
17.0,1944.5054062490335
18.0,1974.7005949251593
19.0,2003.1088832292019
20.0,2528.195920857571
21.0,2562.6119711188667
22.0,3043.644482865515
23.0,2616.335100556701
24.0,2633.1271667596307
25.0,3092.9162361985273
26.0,3094.8362882660244
27.0,2639.9880324752494
28.0,2333.3307147696523
29.0,2321.801337235923
30.0,3652.8586012832666
31.0,3177.202060430845
32.0,3145.252627617408
33.0,3558.31201888252
34.0,3517.523492036148
35.0,3474.9322947359046
36.0,3432.2515925971593
37.0,3388.1609628316437
38.0,3343.6593884166155
39.0,3299.7488356580548
40.0,3704.453746469398
41.0,4293.128047048448
42.0,4260.716896256571
43.0,4230.510618388909
44.0,4201.559577734721
45.0,4172.3553743652765
46.0,4146.6379612055025
47.0,4120.310192812958
48.0,4096.211353696133
49.0,4073.304688939891
50.0,4796.666502182206
51.0,4766.348958015443
52.0,4445.427878627856
53.0,3971.173794901556
54.0,3942.515613433668
55.0,3462.0852007201784
56.0,3589.5850070755296
57.0,4009.8352399404707
58.0,3972.904694443541
59.0,3931.5510696249576
60.0,4284.987396643051
61.0,3940.7994267994436
62.0,3887.930901027322
63.0,3831.003376692608
64.0,4220.026439364075
65.0,3862.7501232208992
66.0,3802.7468842418107
67.0,3450.298822431783
68.0,3392.742704826021
69.0,3335.412065560185
70.0,4501.456964725488
71.0,4443.016153122233
72.0,4383.14380442465
73.0,3872.0529988793983
74.0,3808.954567544536
75.0,3904.082227524335
76.0,3841.4667377970845
77.0,3778.633123784536
78.0,3714.114409756035
79.0,3646.555079607312
80.0,3906.193290875418
81.0,3564.467414606659
82.0,3971.327200514739
83.0,3924.506790391715
84.0,3877.9157764470274
85.0,3832.553581711706
86.0,3784.870544636939
87.0,3444.3403326360212
88.0,3404.521168085852
89.0,3367.479744902884
90.0,3332.2520398639126
91.0,3296.697514712673
92.0,2967.827613086883
93.0,2939.4458269661586
94.0,2617.6973077069233
95.0,2145.3380707038473
96.0,1831.2724363252703
97.0,2262.324974264699
98.0,2243.606678345115
99.0,2223.130062272041
