timestamp,vehicle_id,selected_action_type,selected_bs_id,selected_relay_id,accepted,opt_rate_used,truth_rate_mcs_effective,method,objective
0.0,vehicle_0,direct,BS_1,-1,1,148.0,148.0,random,throughput
1.0,vehicle_0,direct,BS_1,-1,1,148.0,148.0,random,throughput
2.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
3.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
4.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
5.0,vehicle_2,direct,BS_1,-1,1,240.0,240.0,random,throughput
5.0,vehicle_1,direct,BS_1,-1,1,240.0,240.0,random,throughput
5.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
6.0,vehicle_2,direct,BS_1,-1,1,240.0,240.0,random,throughput
6.0,vehicle_1,direct,BS_1,-1,1,240.0,240.0,random,throughput
6.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
7.0,vehicle_2,direct,BS_1,-1,1,240.0,240.0,random,throughput
7.0,vehicle_1,direct,BS_1,-1,1,240.0,240.0,random,throughput
7.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
8.0,vehicle_2,direct,BS_1,-1,1,240.0,240.0,random,throughput
8.0,vehicle_1,direct,BS_1,-1,1,240.0,240.0,random,throughput
8.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
9.0,vehicle_2,direct,BS_1,-1,1,240.0,240.0,random,throughput
9.0,vehicle_1,direct,BS_1,-1,1,240.0,240.0,random,throughput
9.0,vehicle_0,direct,BS_1,-1,1,240.0,240.0,random,throughput
10.0,vehicle_2,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
10.0,vehicle_1,relay,BS_1,vehicle_0,1,240.0,240.0,random,throughput
10.0,vehicle_0,relay,BS_1,vehicle_1,1,240.0,240.0,random,throughput
10.0,flow_west.0,relay,BS_1,vehicle_2,1,240.0,240.0,random,throughput
10.0,flow_east.0,relay,BS_1,flow_west.0,1,38.0,38.0,random,throughput
11.0,vehicle_2,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
11.0,vehicle_1,relay,BS_1,vehicle_0,1,240.0,240.0,random,throughput
11.0,vehicle_0,relay,BS_1,vehicle_1,1,240.0,240.0,random,throughput
11.0,flow_west.0,relay,BS_1,vehicle_2,1,240.0,240.0,random,throughput
11.0,flow_east.0,relay,BS_1,vehicle_2,1,38.0,38.0,random,throughput
12.0,vehicle_2,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
12.0,vehicle_1,relay,BS_1,vehicle_0,1,240.0,240.0,random,throughput
12.0,vehicle_0,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
12.0,flow_west.0,relay,BS_1,vehicle_0,1,240.0,240.0,random,throughput
12.0,flow_east.0,relay,BS_1,vehicle_2,1,38.0,38.0,random,throughput
13.0,vehicle_2,relay,BS_1,vehicle_0,1,240.0,240.0,random,throughput
13.0,vehicle_1,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
13.0,vehicle_0,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
13.0,flow_west.0,relay,BS_1,vehicle_1,1,240.0,240.0,random,throughput
13.0,flow_east.0,relay,BS_1,vehicle_2,1,38.0,38.0,random,throughput
14.0,vehicle_2,relay,BS_1,vehicle_0,1,240.0,240.0,random,throughput
14.0,vehicle_1,relay,BS_1,flow_west.0,1,240.0,240.0,random,throughput
14.0,vehicle_0,relay,BS_1,vehicle_1,1,240.0,240.0,random,throughput
14.0,flow_west.0,relay,BS_1,vehicle_1,1,240.0,240.0,random,throughput
