ID,Title,Author,Year,Publisher
1,"Resource Allocation in V2X Networks: From Classical Optimization to Machine Learning-based Solutions","Parvini, S. et al.",2024,"IEEE Open Journal of the Communications Society"
2,"DDQN-Based Centralized Spectrum Allocation and Distributed Power Control for V2X Communications","Zhang, Y. et al.",2024,"IEEE Transactions on Vehicular Technology"
3,"Radio Resource Management for C-V2X: From A Hybrid Centralized-Distributed Scheme to A Distributed Scheme","Guo, J. et al.",2023,"IEEE Journal on Selected Areas in Communications"
4,"Spectrum Re-Partitioning in Centralized C-V2X for Interference Mitigation and Signaling Reduction","Al-Absi, A. et al.",2022,"Electronics"
5,"Maximum Reuse Distance Scheduling for Cellular-V2X Sidelink Mode 3","Cecchini, G. et al.",2018,"IEEE Globecom Workshops"
6,"Geo-Based Scheduling for C-V2X Networks","Molina-Masegosa, R. et al.",2019,"IEEE Transactions on Vehicular Technology"
7,"Location-Based Scheduling for Cellular V2V Systems in Highway Scenarios","Fritzsche, R. & Festag, A.",2018,"IEEE Vehicular Technology Conference (VTC Spring)"
8,"Deep Neural Network Based Resource Allocation for V2X Communications","Gao, Y. et al.",2019,"IEEE Vehicular Technology Conference (VTC-Fall)"
9,"On SDN to Support The IEEE 802.11 and C-V2X based Vehicular Communications","Suryanegara, W. et al.",2023,"IEEE Access"
10,"Radio Access Network Slicing for V2X and eMBB Services","Garcia, M. et al.",2019,"International Conference on Cognitive Radio Oriented Wireless Networks"
11,"A Survey on Radio Resource Management for 5G V2X Sidelink Network Slicing","Al-Heety, O. et al.",2021,"PhD Thesis, UPC"
12,"Deep Reinforcement Learning for Radio Resource Management in 5G/6G Network Slicing: A Survey","Rojas, O. et al.",2022,"Sensors"
13,"Two-timescale Vehicle Association and Resource Management for C-V2X Networks","Wang, J. et al.",2023,"IEEE Communications Letters"
14,"A Distributed Traffic Signal Control System for V2X Intersections","Wang, F-Y. et al.",2024,"Mathematics"
15,"Federated Learning for Zero-Day Attack Detection in 5G-Enabled V2X Networks","Korba, A. et al.",2023,"IEEE Transactions on Intelligent Transportation Systems"
16,"A Survey of Intrusion Detection Systems in V2X Security using Federated Learning and Edge AI","Merzoug, A. et al.",2024,"IEEE Access"
17,"Federated Reinforcement Learning for Resource Allocation in V2X Networks","Zhang, Y. et al.",2024,"arXiv"
18,"Priority-Aware Multi-Agent Deep Reinforcement Learning for Resource Scheduling in C-V2X Mode 4","Muhammad-Saad, A. et al.",2024,"IEEE Access"
19,"Optimization of Resource Allocation for V2X Security Communication based on Multi-Agent Reinforcement Learning","Ji, B. et al.",2023,"IEEE Transactions on Vehicular Technology"
20,"Analytical Models of the Performance of C-V2X Mode 4 Vehicular Communications","Gonzalez-Martín, M. et al.",2019,"IEEE Transactions on Vehicular Technology"
21,"A New Clustering-based Radio Resource Allocation Scheme for C-V2X","Khabaz, S. et al.",2021,"Wireless Days Conference"
22,"PrESS: Predictive Assessment of Resource Usage for C-V2V Mode 4","Yang, J. M. et al.",2021,"IEEE Vehicular Technology Conference (VTC-Fall)"
23,"A Review of Resource Allocation in C-V2X","Tahi, T. Z.",2024,"arXiv"
24,"Joint Optimization of Resource Allocation and Access Control in C-V2X Networks","Li, X. et al.",2024,"IEEE Transactions on Vehicular Technology"
25,"Optimizing V2X Communication: Spectrum Resource Allocation and Power Control Strategies","Al-Dulaimi, A. et al.",2024,"Applied Sciences"
26,"Sequential Task Assignment and Resource Allocation in V2X-Enabled Mobile Edge Computing","Wang, Y. et al.",2023,"IEEE Internet of Things Journal"
27,"Latency Minimization for MEC-V2X Networks with Joint Offloading and Resource Allocation","Zhang, H. et al.",2023,"IEEE Transactions on Vehicular Technology"
28,"Resource Allocation in V2X Communications Based on Multi-Agent Reinforcement Learning with Attention Mechanism","Sun, Y. et al.",2022,"Mathematics"
29,"Electric Vehicle Charging Station Power Supply Optimization with V2X Capabilities Based on Mixed-Integer Linear Programming","Sbordone, D. et al.",2022,"Energies"
30,"Resource Allocation for D2D-based V2X Communication with Imperfect CSI","Liang, L. et al.",2020,"IEEE Internet of Things Journal"
31,"Resilient Resource Allocation for C-V2X Networks under Imperfect CSI","Zhang, L. et al.",2021,"IEEE Transactions on Wireless Communications"
32,"Fuzzy Matching Learning for Dynamic Resource Allocation in Cellular V2X Network","Zhang, L. et al.",2021,"IEEE Transactions on Vehicular Technology"
33,"Socially Aware Clustering and Matching for V2I/V2V Resource Allocation","Liu, Y. et al.",2022,"IEEE Transactions on Wireless Communications"
34,"Resilient and Secure Resource Allocation for D2D-based V2X using Stable Matching","A. T. Asyabi, E. et al.",2020,"IEEE International Conference on Communications (ICC)"
35,"Enhancing Converged Optical and Millimeter Wave Radio Networks with Resource Management Games","Sahinel, D.",2023,"PhD Thesis, Eindhoven University of Technology"
36,"Efficient Radio Resource Management Scheme in Cooperative Heterogeneous Networks using Coalition Game","Khan, F. et al.",2020,"IEEE Access"
37,"Stackelberg Game-Based Power Allocation for V2X Communications","Zhang, Y. et al.",2020,"Sensors"
38,"Game Theory-Based Load-Balancing Algorithms for Heterogeneous Networks","Al-Dulaimi, A. et al.",2023,"Applied Sciences"
39,"A Survey of Recent Advances in Optimization Methods for Wireless Communications","Luo, Z-Q. et al.",2024,"IEEE Journal on Selected Areas in Communications"
40,"Sum-Throughput Maximization in NOMA-Based WPCN: A Cluster-Specific Beamforming Approach","Song, D. et al.",2021,"IEEE Internet of Things Journal"
41,"Graph Neural Networks and Deep Reinforcement Learning Based Resource Allocation for V2X Communications","Ji, M. et al.",2024,"IEEE Internet of Things Journal"
42,"GNN-Augmented Multi-Agent Reinforcement Learning for Spectrum Allocation in V2X Network","Wang, J. et al.",2021,"IEEE Globecom Workshops"
43,"Dynamic Graph Attention-driven Reinforcement Learning for Resource Allocation in Vehicular Networks","Chen, Y. et al.",2025,"Preprints.org"
44,"A GNN and Double Deep Q-Network Framework for Dynamic Resource Allocation in V2X","Li, H. et al.",2025,"Computer Materials & Continua"
45,"Deep Reinforcement Learning for Resource Allocation in V2V Communications","Ye, H. & Li, G. Y.",2018,"IEEE Wireless Communications Letters"
46,"Energy-Efficient Resource Allocation for V2V Communications using Deep Reinforcement Learning","Jang, B. et al.",2023,"Sensors"
47,"Integrated Networking, Caching, and Computing for Connected Vehicles: A Deep Reinforcement Learning Approach","He, Y. et al.",2017,"IEEE Transactions on Vehicular Technology"
48,"Resource Allocation for NOMA-based V2X Communications using Reinforcement Learning","Chen, Y-C. et al.",2021,"IEEE INFOCOM Workshops"
49,"Joint Optimization for AoI and Energy Consumption in C-V2X Enabled IoV based on DRL","Wu, Q. et al.",2024,"arXiv"
50,"A Q-Learning Approach for Sidelink Joint Communication and Sensing in NR-V2X","Zhang, C. et al.",2025,"Sensors"
