ID,Title,Author,Year,Publisher,Summary,Keywords
1,Resource Allocation in V2X Networks: From Classical Optimization to Machine Learning-based Solutions,"Parvini, S. et al.",2024,IEEE Open Journal of the Communications Society,この論文では、V2X（Vehicle-to-Everything）ネットワークにおけるリソース割り当て問題について、従来の最適化手法と機械学習ベースの手法を比較検討しています。特に、車両プラトーン走行における通信の信頼性と安定性を確保するための無線リソース管理（RRM）問題に焦点を当てています。まず、基地局が車両間（V2V）の通信品質を完全に把握しているという前提のもと、差分凸関数計画（d.c. programming）に基づいた中央集権的なアプローチを考案します。次に、各送信車両を自律的なエージェントとみなし、マルチエージェント強化学習（MARL）を用いた分散型のリソース割り当て手法を開発します。さらに、連合学習（FL）を分散型MARLアルゴリズムに統合することの潜在的な利点も調査しています。これらの古典的な手法と機械学習ベースの手法を比較することで、強化学習ベースのリソース割り当てアルゴリズムによって学習されたポリシーの堅牢性、感度、有効性に関する重要な観察結果を導き出しています。,"Reinforcement Learning, Multi-agent Reinforcement Learning - MARL, Platooning, Radio Resource Management - RRM, Federated Learning - FL"
2,DDQN-Based Centralized Spectrum Allocation and Distributed Power Control for V2X Communications,"Zhang, Y. et al.",2024,IEEE Transactions on Vehicular Technology,機械学習、特にディープラーニングが高度に移動性の高い車両ネットワークで広く利用されるに伴い、V2X（Vehicle-to-Everything）通信は学術界や産業界から多くの注目を集めています。しかし、高速で動的なネットワーク環境は、V2X通信におけるリソース割り当て問題に大きな課題をもたらしています。動的な車両ネットワーク環境においてチャネル状態情報（CSI）を正確に取得することの難しさを考慮し、本論文では、スペクトルリソースをより効果的に利用し、V2Xリンク間の多重干渉を削減するために、Double Deep Q-Network（DDQN）に基づいた集中型スペクトル割り当てと分散型電力制御を組み合わせたアルゴリズムを提案します。このアプローチは2段階で構成されます。第1段階では、グラフ理論に基づいた集中型スペクトルマッチング方式を提示し、V2V（Vehicle-to-Vehicle）リンクとV2I（Vehicle-to-Infrastructure）リンク間の多重干渉を低減し、車両ネットワークのシステム容量を向上させます。第2段階では、局所的に取得したCSI情報に基づいて端末車両の将来の動的なCSIトレンドを予測することにより、システムの信頼性を高め、端末ユーザーの体験品質要件を満たすための分散型DDQNベースの電力制御方式を提案します。,"V2X Communications, Resource Allocation, Spectrum Allocation, Power Control, Deep Reinforcement Learning, Double Deep Q-Network (DDQN), Interference Management, Channel State Information (CSI)"
3,Radio Resource Management for C-V2X: From A Hybrid Centralized-Distributed Scheme to A Distributed Scheme,"Guo, J. et al.",2023,IEEE Journal on Selected Areas in Communications,セルラーV2X（C-V2X）におけるスペクトラム共有は、スペクトル効率を向上させる有望な解決策として考えられてきました。 しかし、それに伴う同一チャネル干渉は、車両リンクの性能を著しく低下させる可能性があります。 そのため、通信の信頼性を確保し、システム容量を増やすために、無線リソース管理（RRM）が考案され、設計されています。 課題の1つは、RRMにはチャネル割り当てと電力制御が含まれ、これらは密接に結合しており、同時に最適化することが難しい点です。 もう1つ[1][2]の課題は、グローバルなチャネル状態情報（CSI）を必要とし、高いシグナリングオーバーヘッドを引き起こす集中型RRM方式の適応が困難であることです。これらの課題に取り組むために、本稿ではハイブリッド集中分散型RRM方式と分散型RRM方式を提案します。 具体的には、チャネル割り当てと電力制御を独立して最適化できるように、理論的な下限を提供する分離手法を証明します。 この分離手法を前提として、ハイブリッド集中分散型RRM方式は、グラフマッチングと強化学習（GMRL）に基づいており、システム容量を最大化し、信頼性要件を保証します。 さらに、計算の複雑さとシグナリングのオーバーヘッドを削減するために、ハイブリッドフレームワーク強化学習（HFRL）を用いてローカルCSIのみを必要とする分散型RRM方式が活用されています。 最後に、両方の方式は実験を通じて数値的に評価され、他のディープQネットワーク（DQN）ベースの方式よりも優れた性能を発揮します。,"Cellular Vehicle-to-Everything (C-V2X), Radio Resource Management (RRM), Resource Allocation, Interference Mitigation, Reinforcement Learning (RL), Deep Q-Network (DQN), Hybrid Centralized-Distributed Scheme, Distributed Scheme, Channel State Information (CSI)"
4,Spectrum Re-Partitioning in Centralized C-V2X for Interference Mitigation and Signaling Reduction,"Al-Absi, A. et al.",2022,Electronics,この研究は、セルラーV2X（C-V2X）通信における干渉を軽減し、車両とインフラ間のシグナリングコストを削減するための新しい手法を提案しています。特に、RSU（路側機）において、周波数帯域を2つのサブバンドに分割する「フル周波数再利用（FFR）」と「部分的周波数再利用（PFR）」という2つのスペクトル再分割技術を検討しています。PFR技術では、RSUカバレッジの中央部と端部にいる車両間でサブバンドをさらに再分割します。シミュレーションの結果、PFR技術はFFR技術と比較して有望な結果を示し、両方の技術が従来の単一帯域システムよりも大幅に改善されることが示されました。 このアプローチは、特にC-V2Xモード3において、リソースの衝突を回避し、高い干渉の影響を減少させることを目的としています。,"C-V2X (Cellular Vehicle-to-Everything), Resource Allocation (リソース割り当て), Interference Mitigation (干渉軽減), Spectrum Re-Partitioning (スペクトル再分割), Signaling Reduction (シグナリング削減), Full Frequency Reuse (FFR) (フル周波数再利用), Partial Frequency Reuse (PFR) (部分的周波数再利用), Roadside Units (RSUs) (路側機)"
5,Maximum Reuse Distance Scheduling for Cellular-V2X Sidelink Mode 3,"Cecchini, G. et al.",2018,IEEE Globecom Workshops,"""Maximum Reuse Distance Scheduling for Cellular-V2X Sidelink Mode 3"" のアブストラクトに関連するキーワードは以下の通りです。","Cellular-V2X (C-V2X), Sidelink, Mode 3, Resource Allocation, Scheduling, Reuse Distance, Interference, Packet Reception Ratio (PRR), Latency, Quality of Service (QoS)"
6,Geo-Based Scheduling for C-V2X Networks,"Molina-Masegosa, R. et al.",2019,IEEE Transactions on Vehicular Technology,本稿では、C-V2Xネットワークにおける地理ベースのスケジューリング（GBS）方式を提案します。GBSは、車両の位置情報に基づいてリソースを割り当てることで、干渉を低減し、システムのスループットを向上させます。シミュレーション結果は、GBSが従来のスケジューリング方式と比較して優れた性能を発揮することを示しています。,"C-V2X, Geo-Based Scheduling, Resource Allocation, Interference Management, Throughput Improvement"
7,Location-Based Scheduling for Cellular V2V Systems in Highway Scenarios,"Fritzsche, R. & Festag, A.",2018,IEEE Vehicular Technology Conference (VTC Spring),本稿では、高速道路シナリオにおけるセルラーV2Vシステム向けのロケーションベースのスケジューリング方式を提案します。この方式は、車両の位置情報とチャネル状態情報を考慮して、リソースを効率的に割り当て、通信の信頼性を向上させます。,"Cellular V2V, Location-Based Scheduling, Highway Scenarios, Resource Allocation, Communication Reliability"
8,Deep Neural Network Based Resource Allocation for V2X Communications,"Gao, Y. et al.",2019,IEEE Vehicular Technology Conference (VTC-Fall),本稿では、V2X通信におけるリソース割り当てのための深層ニューラルネットワーク（DNN）ベースのアプローチを提案します。DNNは、複雑な無線環境において最適なリソース割り当てポリシーを学習し、システムのスループットと信頼性を向上させます。,"V2X Communications, Resource Allocation, Deep Neural Network (DNN), Throughput, Reliability"
9,On SDN to Support The IEEE 802.11 and C-V2X based Vehicular Communications,"Suryanegara, W. et al.",2023,IEEE Access,本稿では、IEEE 802.11およびC-V2Xベースの車両通信をサポートするためのSDN（Software-Defined Networking）の適用について検討します。SDNは、ネットワークの柔軟性と管理性を向上させ、V2X通信の効率的な運用を可能にします。,"SDN (Software-Defined Networking), IEEE 802.11, C-V2X, Vehicular Communications, Network Flexibility, Network Management"
10,Radio Access Network Slicing for V2X and eMBB Services,"Garcia, M. et al.",2019,International Conference on Cognitive Radio Oriented Wireless Networks,本稿では、V2XおよびeMBB（enhanced Mobile Broadband）サービスのための無線アクセスネットワーク（RAN）スライシングについて検討します。RANスライシングは、異なるサービス要件を持つV2XおよびeMBBトラフィックを効率的に処理するための柔軟なネットワークアーキテクチャを提供します。,"Radio Access Network (RAN) Slicing, V2X, eMBB (enhanced Mobile Broadband), Service Requirements, Network Architecture"
11,A Survey on Radio Resource Management for 5G V2X Sidelink Network Slicing,"Al-Heety, O. et al.",2021,"PhD Thesis, UPC",本論文は、5G V2Xサイドリンクネットワークスライシングにおける無線リソース管理に関する調査です。様々なリソース管理技術をレビューし、将来の研究方向性について議論します。,"5G V2X, Sidelink, Network Slicing, Radio Resource Management, Survey"
12,Deep Reinforcement Learning for Radio Resource Management in 5G/6G Network Slicing: A Survey,"Rojas, O. et al.",2022,Sensors,本論文は、5G/6Gネットワークスライシングにおける無線リソース管理のための深層強化学習に関する調査です。様々な深層強化学習アルゴリズムをレビューし、その適用可能性と課題について議論します。,"Deep Reinforcement Learning, Radio Resource Management, 5G/6G Network Slicing, Survey"
13,Two-timescale Vehicle Association and Resource Management for C-V2X Networks,"Wang, J. et al.",2023,IEEE Communications Letters,本稿では、C-V2Xネットワークにおける2つの時間スケールでの車両関連付けとリソース管理について検討します。このアプローチは、動的な車両環境において効率的なリソース割り当てを可能にします。,"C-V2X Networks, Two-timescale, Vehicle Association, Resource Management"
14,A Distributed Traffic Signal Control System for V2X Intersections,"Wang, F-Y. et al.",2024,Mathematics,本稿では、V2X交差点における分散型交通信号制御システムを提案します。このシステムは、V2X通信を活用して交通流を最適化し、交差点の効率を向上させます。,"V2X Intersections, Distributed Traffic Signal Control, Traffic Flow Optimization"
15,Federated Learning for Zero-Day Attack Detection in 5G-Enabled V2X Networks,"Korba, A. et al.",2023,IEEE Transactions on Intelligent Transportation Systems,本稿では、5G対応V2Xネットワークにおけるゼロデイ攻撃検出のための連合学習を提案します。連合学習は、プライバシーを保護しながら、分散型環境で攻撃を検出する能力を向上させます。,"Federated Learning, Zero-Day Attack Detection, 5G-Enabled V2X Networks, Security"
16,A Survey of Intrusion Detection Systems in V2X Security using Federated Learning and Edge AI,"Merzoug, A. et al.",2024,IEEE Access,本論文は、連合学習とエッジAIを用いたV2Xセキュリティにおける侵入検知システムに関する調査です。様々な侵入検知技術をレビューし、その適用可能性と課題について議論します。,"Intrusion Detection Systems, V2X Security, Federated Learning, Edge AI, Survey"
17,Federated Reinforcement Learning for Resource Allocation in V2X Networks,"Zhang, Y. et al.",2024,arXiv,本稿では、V2Xネットワークにおけるリソース割り当てのための連合強化学習を提案します。連合強化学習は、分散型環境でリソース割り当てポリシーを学習し、システムのスループットと信頼性を向上させます。,"Federated Reinforcement Learning, Resource Allocation, V2X Networks"
18,Priority-Aware Multi-Agent Deep Reinforcement Learning for Resource Scheduling in C-V2X Mode 4,"Muhammad-Saad, A. et al.",2024,IEEE Access,本稿では、C-V2Xモード4におけるリソーススケジューリングのための優先度認識型マルチエージェント深層強化学習を提案します。このアプローチは、異なる優先度を持つV2Xトラフィックを効率的に処理し、システム性能を最適化します。,"Priority-Aware, Multi-Agent Deep Reinforcement Learning, Resource Scheduling, C-V2X Mode 4"
